MovieID,Title,Year,Genre,Director,Cast,Language,Country,Runtime(min),Rating,Votes,Budget(million$),Revenue(million$),Keywords,Overview,Popularity
MV1000,Inception,2012,Horror,Tim Burton,Andrew Garfield|Jennifer Lawrence|Timothée Chalamet|Tom Hanks|Brad Pitt,Spanish,India,109,4.0,840176,220.3,598.3,war|betrayal|mystery,A horror film directed by Tim Burton featuring Andrew Garfield.,52.12
MV1001,The Dark Knight,2000,Animation|History,John Ford,Idris Elba|Amy Adams|Daniel Craig,Italian,Japan,125,4.5,1542824,64.5,454.6,revenge|danger|time travel|discovery,A animation film directed by John Ford featuring Idris Elba.,63.04
MV1002,Interstellar,2007,Romance|Comedy|Drama,Bong Joon-ho,Anya Taylor-Joy|Matt Damon|Leonardo DiCaprio,Mandarin,Germany,191,8.5,2073611,42.4,245.7,dystopia|based on true story|friendship|power,A romance film directed by Bong Joon-ho featuring Anya Taylor-Joy.,74.9
MV1003,Pulp Fiction,1992,Comedy|Sci-Fi,Ingmar Bergman,Tom Hanks|Tom Hardy|Idris Elba,Korean,Canada,190,9.0,1551373,204.4,1080.0,revenge|sacrifice|family,A comedy film directed by Ingmar Bergman featuring Tom Hanks.,87.27
MV1004,The Shawshank Redemption,1984,Adventure,Steven Spielberg,Benedict Cumberbatch|Viola Davis|Florence Pugh,Italian,Canada,86,4.0,2117202,217.3,571.3,heist|justice|family|danger|love|escape,A adventure film directed by Steven Spielberg featuring Benedict Cumberbatch.,18.76
MV1005,Forrest Gump,2007,Romance,Quentin Tarantino,Meryl Streep|Scarlett Johansson|Zendaya|Margot Robbie,Italian,Germany,147,9.0,1105009,214.9,1324.7,ambition|corruption|identity|betrayal|supernatural,A romance film directed by Quentin Tarantino featuring Meryl Streep.,99.46
MV1006,The Godfather,1989,Thriller,Ridley Scott,Florence Pugh|Idris Elba|Christian Bale,Hindi,Germany,104,9.5,2076806,15.2,46.3,freedom|sacrifice|war|supernatural|family|coming of age,A thriller film directed by Ridley Scott featuring Florence Pugh.,35.61
MV1007,Schindler's List,2022,Thriller|Crime|Action,Ang Lee,Amy Adams|Lupita Nyong'o|Cate Blanchett|Viola Davis|Zendaya,French,Italy,81,5.6,512667,138.6,671.6,dystopia|corruption|family,A thriller film directed by Ang Lee featuring Amy Adams.,3.86
MV1008,Fight Club,2001,Mystery,Francis Ford Coppola,Jennifer Lawrence|Anya Taylor-Joy|Scarlett Johansson|Emma Stone,English,Japan,157,8.4,297638,192.0,,loss|friendship|betrayal,A mystery film directed by Francis Ford Coppola featuring Jennifer Lawrence.,24.77
MV1009,Goodfellas,2021,Comedy|Drama|Romance,Ron Howard,Joaquin Phoenix|Denzel Washington|Scarlett Johansson|Charlize Theron,French,Italy,206,5.1,1869320,310.0,1230.3,survival|coming of age|identity|justice|discovery|betrayal,A comedy film directed by Ron Howard featuring Joaquin Phoenix.,43.98
MV1010,The Matrix,1989,Adventure|Mystery,Stanley Kubrick,Robert De Niro|Tom Hardy|Timothée Chalamet|Adam Driver|Florence Pugh,Japanese,France,107,7.8,1261005,294.7,1275.4,escape|love|danger|survival|ambition,A adventure film directed by Stanley Kubrick featuring Robert De Niro.,11.66
MV1011,Saving Private Ryan,1985,Action|Drama|Fantasy,Woody Allen,Amy Adams|Michael Fassbender|Meryl Streep|Robert De Niro,,Japan,155,7.2,1909400,265.3,998.7,corruption|based on true story|betrayal|redemption|survival,A action film directed by Woody Allen featuring Amy Adams.,74.96
MV1012,Gladiator,1990,Animation|Musical|Fantasy,Guillermo del Toro,Denzel Washington|Zendaya|Joaquin Phoenix|Al Pacino|Mark Ruffalo,German,Japan,97,4.7,59199,67.6,445.0,revenge|redemption|sacrifice|time travel,A animation film directed by Guillermo del Toro featuring Denzel Washington.,15.37
MV1013,The Silence of the Lambs,1989,Sci-Fi|Action,Quentin Tarantino,Morgan Freeman|Saoirse Ronan|Zendaya,Hindi,USA,190,7.2,845474,103.9,694.8,love|corruption|revenge|war|time travel|identity,A sci-fi film directed by Quentin Tarantino featuring Morgan Freeman.,97.97
MV1014,Braveheart,2011,Crime|Fantasy|Musical,Woody Allen,Ryan Gosling|Brad Pitt|Austin Butler|Tom Hanks,German,Canada,,7.0,1124439,312.6,1097.8,war|sacrifice|discovery|time travel|justice|freedom,A crime film directed by Woody Allen featuring Ryan Gosling.,70.05
MV1015,The Green Mile,2023,Musical|Crime,Jean-Luc Godard,Gene Hackman|Timothée Chalamet|Scarlett Johansson|Tom Hardy|Jessica Chastain,German,Italy,195,8.4,680585,218.0,539.5,heist|sacrifice|family,A musical film directed by Jean-Luc Godard featuring Gene Hackman.,18.16
MV1016,Se7en,2015,Action,Bong Joon-ho,Charlize Theron|Christian Bale|Amy Adams|Ana de Armas,English,UK,161,6.4,951807,43.1,87.3,corruption|based on true story|justice|coming of age|love,A action film directed by Bong Joon-ho featuring Charlize Theron.,77.24
MV1017,American Beauty,1983,Biography|Animation,Federico Fellini,Natalie Portman|Al Pacino|Andrew Garfield,English,Australia,101,4.9,496176,304.9,2230.2,supernatural|power|conspiracy|freedom,A biography film directed by Federico Fellini featuring Natalie Portman.,76.43
MV1018,A Beautiful Mind,1992,Sci-Fi|Biography,Akira Kurosawa,Viola Davis|Florence Pugh|Benedict Cumberbatch,Japanese,Australia,118,4.5,1563111,250.6,876.0,family|coming of age|ambition|identity,A sci-fi film directed by Akira Kurosawa featuring Viola Davis.,78.93
MV1019,Black Swan,2023,Action|Animation,James Cameron,Austin Butler|Cate Blanchett|Robert De Niro,Italian,Italy,177,9.4,690227,152.5,507.5,heist|time travel|family,A action film directed by James Cameron featuring Austin Butler.,90.35
MV1020,The Departed,2005,Fantasy|Adventure|Romance,John Ford,Jennifer Lawrence|Charlize Theron|Leonardo DiCaprio|Margot Robbie|Austin Butler,Spanish,Germany,189,7.5,2284485,218.9,1107.6,conspiracy|justice|time travel|loss|redemption|power,A fantasy film directed by John Ford featuring Jennifer Lawrence.,9.34
MV1021,No Country for Old Men,1993,Adventure,Sofia Coppola,Austin Butler|Benedict Cumberbatch|Dustin Hoffman|Christian Bale,English,USA,141,5.3,1275825,254.6,2011.2,supernatural|love|dystopia,A adventure film directed by Sofia Coppola featuring Austin Butler.,37.92
